architecture,category_split,tipo_arquitectura,services
cRxvZBIa-gI,interactive,None,"['ThirdParty', 'ALB', 'EKS', 'Aurora', 'UserConsumerMobile']"
HwHVFWdczVw,interactive,Edge,"['S3', 'ECS', 'ALB', 'DynamoDB', 'SQS', 'UserConsumerWebMobile', 'CloudFront', 'ElastiCache', 'RDS']"
GoziWpmFCS0,data_ingestion,Edge,"['Athena', 'Glue', 'S3']"
qgW8LQ8iBuA,data_ingestion,None,"['ThirdParty', 'S3', 'UserCompanyAgent', 'ELB', 'Aurora', 'EC2', 'ElastiCache']"
a1sEfGVDpEQ,data_ingestion,None,"['Lambda', 'ThirdParty', 'S3', 'Firehose', 'SecurityHub', 'GuardDuty', 'StepFunctions']"
XG6mHvi4eNU,control,None,"['S3', 'UserCompanyDeveloper', 'EKS', 'ECR', 'EC2', 'AMI']"
EW4X5z7m-0U,data_ingestion,Edge,"['Lambda', 'ThirdParty', 'Kinesis', 'PrivateLink', 'ELB', 'CloudFront', 'UserConsumerWeb', 'EC2', 'DynamoDB']"
WS2Qgx0qgCM,control,None,"['IAM', 'STS', 'EC2', 'OpenSearch', 'CloudTrail']"
_vjB_vF4Uec,interactive,Edge,"['Lambda', 'UserConsumerEdge', 'ELB', 'Route53', 'EC2', 'DynamoDB']"
tVjrkpjWG5o,data_ingestion,Edge,"['EMR', 'ThirdParty', 'S3', 'UserConsumerAPI', 'EC2', 'RDS']"
tVjrkpjWG5o,compute_intensive,Edge,"['EMR', 'ThirdParty', 'S3', 'UserConsumerAPI', 'EC2', 'RDS']"
mmM_JnYygZM,interactive,Edge,"['ThirdParty', 'UserConsumerPOS', 'CloudWatch', 'S3', 'ECS', 'UserConsumerWeb', 'UserCompanyDataStream', 'ApiGateway']"
mZxF1IJEsaY,data_ingestion,None,"['ECS', 'ALB', 'Route53', 'Aurora', 'AmazonMQ', 'DMS']"
FfSNnH2bbNc,data_ingestion,None,"['Lambda', 'UserConsumerSatellite', 'S3', 'Fargate', 'UserConsumerWeb', 'EC2', 'ElastiCache', 'RDS']"
FfSNnH2bbNc,interactive,None,"['Lambda', 'UserConsumerSatellite', 'S3', 'Fargate', 'UserConsumerWeb', 'EC2', 'ElastiCache', 'RDS']"
r3g1Nym-ebY,other,None,"['IAM', 'Fargate', 'AWSConfig', 'Inspector', 'Organizations', 'EC2', 'CloudTrail']"
i10a06IU4WQ,control,None,"['ThirdParty', 'S3', 'UserCompanyAgent', 'STS', 'EC2']"
q_5U7z_vNug,data_ingestion,Edge,"['Lambda', 'EMR', 'MSK', 'ThirdParty', 'S3', 'UserConsumerEdge', 'UserCompanyAnalyst', 'EC2']"
yXpd8gPfows,compute_intensive,None,"['Lambda', 'SageMakerGroundTruth', 'ThirdParty', 'S3', 'Textract', 'Comprehend', 'SageMaker', 'DynamoDB']"
o_zqbpuhyIY,control,None,"['Kinesis', 'UserConsumerAPI']"
aY-wF9g0qkM,interactive,Edge,"['Lambda', 'ThirdParty', 'S3', 'UserConsumerEdge', 'TransferFamily', 'Rekognition', 'UserConsumerWeb']"
Wur1GWB03hk,interactive,Edge,"['Lambda', 'S3', 'RDS', 'AlexaForBusiness', 'UserConsumerMobile', 'DynamoDB']"
PoYiSKUy8sE,data_ingestion,Edge,"['Lambda', 'StepFunctions', 'Kinesis', 'S3', 'UserConsumerAPI', 'ECS', 'UserConsumerEdge', 'SQS', 'DynamoDB']"
PoYiSKUy8sE,interactive,Edge,"['Lambda', 'StepFunctions', 'Kinesis', 'S3', 'UserConsumerAPI', 'ECS', 'UserConsumerEdge', 'SQS', 'DynamoDB']"
N2mktbl8EQk,compute_intensive,Edge,"['Kinesis', 'CloudWatch', 'S3', 'RoboMaker', 'UserConsumerWeb', 'SageMaker']"
Gds8hl8dKuo,control,None,"['S3', 'UserCompanyAgent', 'KMS', 'SQS', 'EC2', 'SNS', 'DynamoDB']"
1xLjtJnfZes,interactive,None,"['ShieldAdvanced', 'ThirdParty', 'WAF', 'UserConsumerAPI', 'ELB', 'AutoScaling', 'EKS', 'UserCompanyDataStream']"
53sUjFv9ByI,data_ingestion,HPC,"['ThirdParty', 'FSX', 'EKS', 'ECR', 'UserCompanyDataStream', 'EC2']"
OQKOHNtyz3E,interactive,None,"['Lambda', 'ThirdParty', 'Lex', 'UserCompanyAgent', 'UserCompanyDeveloper', 'Connect', 'UserConsumerMobile', 'DevTools', 'DynamoDB']"
hFx0EF9KEZU,data_ingestion,None,"['Lambda', 'ThirdParty', 'S3', 'RDS', 'UserConsumerWebMobile', 'Firehose', 'EKS', 'Athena', 'DynamoDB']"
hFx0EF9KEZU,compute_intensive,None,"['Lambda', 'ThirdParty', 'S3', 'RDS', 'UserConsumerWebMobile', 'Firehose', 'EKS', 'Athena', 'DynamoDB']"
hFx0EF9KEZU,interactive,None,"['Lambda', 'ThirdParty', 'S3', 'RDS', 'UserConsumerWebMobile', 'Firehose', 'EKS', 'Athena', 'DynamoDB']"
